title,release_year,runtime,genres,imdb_score
Life by Ella,2022,30,"['drama', 'comedy']",5.8
Lovely Little Farm,2022,25,['family'],8
Best Foot Forward,2022,0,"['family', 'comedy', 'drama']",7.2
"Who Are You, Charlie Brown?",2021,61,"['documentation', 'animation']",7.2
The Snoopy Show,2021,22,"['animation', 'comedy', 'family', 'action']",8.1
Snoopy Presents: Lucy's School,2022,38,"['animation', 'family', 'comedy']",6.6
Snoopy Presents: For Auld Lang Syne,2021,39,"['animation', 'comedy', 'family']",6.9
Blush,2021,11,"['animation', 'scifi']",8
Wolfboy and The Everything Factory,2021,12,"['animation', 'comedy', 'family', 'fantasy']",7.7
Pretzel and the Puppies,2022,23,"['animation', 'family']",7.7
"Snoopy Presents: It’s the Small Things, Charlie Brown",2022,38,"['animation', 'family']",6.7
Interrupting Chicken,2022,12,"['animation', 'family']",6.4
Get Rolling with Otis,2021,12,"['animation', 'comedy', 'family']",8.3
"Snoopy Presents: To Mom (and Dad), With Love",2022,38,"['animation', 'comedy', 'family']",7.1
Pinecone & Pony,2022,11,"['family', 'fantasy', 'animation', 'comedy']",6.4
Sago Mini Friends,2022,11,"['animation', 'comedy', 'family']",8.5
Duck & Goose,2022,0,"['animation', 'family']",7.9
El Deafo,2022,26,"['comedy', 'family', 'animation']",8.4
Slumberkins,2022,0,"['fantasy', 'animation', 'comedy', 'family']",9.5
Mariah's Christmas: The Magic Continues,2021,18,"['music', 'family']",4.9
Shrinking,2023,55,"['comedy', 'drama']",7.9
Hello Tomorrow!,2023,0,"['drama', 'scifi', 'comedy']",6.3
Sharper,2023,116,"['crime', 'drama', 'thriller']",6.6
Dear Edward,2023,0,['drama'],7.4
The Reluctant Traveler with Eugene Levy,2023,35,"['documentation', 'reality']",7.8
Liaison,2023,51,"['crime', 'thriller']",6.3
Super League: The War For Football,2023,0,"['documentation', 'sport']",7.4
Shape Island,2023,24,"['family', 'animation', 'fantasy', 'comedy']",7.6
