Title,Date,Genre,orig_lang,Revenue($),Budget($),country,score
Next Friday,27-Jul-00,comedy, English,59675307,9500000,AU,65
18 Year Old Virgin,26-Feb-09,comedy, English,567601271,101800000,AU,40
Life of the Party,1-Aug-18,comedy, English,65859911,30000000,AU,62
The Little Hours,7-Jun-17,comedy, English,220176894,72440000,AU,58
Role Models,15-Jan-09,comedy, English,94500826,28000000,AU,65
Vegas Vacation,27-Apr-97,comedy, English,36400360,25000000,AU,61
Entourage,4-Jun-15,comedy, English,46438538,30000000,AU,62
Drillbit Taylor,20-Mar-08,comedy, English,49686263,40000000,AU,58
The Incredible Burt Wonderstone,14-Mar-13,comedy, English,27392609,32000000,AU,56
Brewster's Millions,15-Aug-85,comedy, English,45833132,20000000,AU,66
Office Christmas Party,25-Nov-16,comedy, English,115097874,45000000,AU,57
A Very Harold & Kumar Christmas,19-Oct-12,comedy, English,36192775,19000000,AU,60
Dazed and Confused,27-May-94,comedy, English,7961889,6900000,AU,73
Encino Man,27-Aug-92,comedy, English,40693477,7000000,AU,58
Jay and Silent Bob Strike Back,31-Jan-02,comedy, English,33762400,22000000,AU,64
21 & Over,7-Mar-13,comedy, English,48065672,13000000,AU,58
This Is 40,17-Jan-13,comedy, English,88215156,35000000,AU,58
Death at a Funeral,28-Apr-10,comedy, English,48977233,21000000,AU,58
Death at a Funeral,28-Apr-10,comedy, English,47289148,20000000,AU,58
The Producers,26-Sep-18,comedy, English,134072628,947000,AU,71
The Big Wedding,9-May-13,comedy, English,48425971,32500000,AU,59
Friday After Next,7-Aug-03,comedy, English,33526835,10000000,AU,63
The Last American Virgin,2-Jun-83,comedy, English,327139852,54000000,AU,66
Swingers,12-Jun-97,comedy, English,6618578,200000,AU,69
Dinner for Schmucks,5-Aug-10,comedy, English,86796502,69000000,AU,57
Drunk Parents,12-Jun-19,comedy, English,164610803,55000000,AU,46
St. Vincent,26-Dec-14,comedy, English,54837234,13000000,AU,71
Sleeping with Other People,2-Aug-15,comedy, English,3214116,6548225.8,AU,63
The Boss,14-Apr-16,comedy, English,78652207,29000000,AU,59
Good Kids,5-Oct-16,comedy, English,519948265,90544000,AU,64
Sisters,7-Jan-16,comedy, English,106030660,30000000,AU,60
Night School,27-Sep-18,comedy, English,104145633,29000000,AU,62
The First Wives Club,24-Oct-96,comedy, English,181489203,30000000,AU,67
"Surfer, Dude",19-Feb-09,comedy, English,36497,6000000,AU,46
Get Hard,26-Mar-15,comedy, English,111711453,40000000,AU,60
The Personal History of David Copperfield,2-Jul-20,comedy, English,13207442,15600000,AU,65
Delivery Man,18-Dec-14,comedy, English,55616322,22000000,AU,63
The Birdcage,18-Apr-96,comedy, English,185260553,31000000,AU,70
Greedy,21-Apr-94,comedy, English,13145977,12040000,AU,62
Ruthless People,25-Sep-86,comedy, English,71600000,11000000,AU,66
Son of Rambow,22-Jan-07,comedy, English,10871449,4913400,AU,67
Airplane II: The Sequel,22-Apr-83,comedy, English,27150534,20846151.6,AU,61
Tommy Boy,8-Jun-95,comedy, English,32648673,57368000,AU,68
Caddyshack,21-Aug-80,comedy, English,39849764,6000000,AU,66
A Madea Family Funeral,21-May-19,comedy, English,46115383,21690000,AU,59
Behaving Badly,16-Sep-15,comedy, English,422697,5520017.8,AU,53
Napoleon Dynamite,11-Nov-04,comedy, English,46122713,400000,AU,68
Fired Up!,23-Apr-09,comedy, English,18599102,20000000,AU,61
The Week Of,28-Apr-18,comedy, English,152911219,76000000,AU,54
Kingpin,4-Jul-96,comedy, English,32223424,25000000,AU,65
Ali G Indahouse,11-Jul-02,comedy, English,25900000,7000000,AU,61
The Jerk,6-Jun-80,comedy, English,100000000,4000000,AU,69
Fading Gigolo,1-May-14,comedy, English,2681345,11883300.6,AU,58
Parental Guidance,26-Dec-12,comedy, English,120832383,25000000,AU,59
Edtv,20-May-99,comedy, English,322381266,80000000,AU,60
Brüno,8-Jul-09,comedy, English,138708527,42000000,AU,56
The Passion of the Christ,25-Feb-04,drama, English,622313635,25000000,AU,74
The Whale,2-Feb-23,drama, English,36752010,3000000,AU,81
Creed II,6-Dec-18,drama, English,213591522,50000000,AU,70
Creed,26-Nov-15,drama, English,173567581,37000000,AU,74
The Penitent Thief,25-Feb-21,drama, English,23800,15160689,AU,62
Air,5-Apr-23,drama, English,5000000,28519270.6,AU,79
The Help,1-Sep-11,drama, English,213120004,25000000,AU,82
Overcomer,22-Aug-19,drama, English,38093564,5000000,AU,77
The Blind Side,25-Feb-10,drama, English,305705794,35000000,AU,77
The Last Temptation of Christ,13-Oct-88,drama, English,8373585,7000000,AU,72
Mira,13-Nov-22,drama, English,751654707,71400000,AU,73
The Fabelmans,5-Jan-23,drama, English,43977543,40000000,AU,79
Rocky IV,19-Dec-85,drama, English,300473716,31000000,AU,71
Good Will Hunting,12-Mar-98,drama, English,225925989,10000000,AU,81
Rocky III,12-Aug-82,drama, English,270000000,17000000,AU,69
Aftersun,23-Feb-23,drama, English,4785157,26473270.6,AU,77
Woodlawn,16-Oct-15,drama, English,14403891,13000000,AU,70
Rocky II,1-Nov-79,drama, English,85182160,7000000,AU,72
Courageous,10-Nov-11,drama, English,35680886,2000000,AU,75
Rocky Balboa,22-Feb-07,drama, English,156229050,24000000,AU,68
The Pursuit of Happyness,11-Jan-07,drama, English,307311093,55000000,AU,79
Rocky V,26-Dec-90,drama, English,119946358,42000000,AU,58
Father Stu,12-May-22,drama, English,21806425,4000000,AU,73
Men of Honor,26-Jul-01,drama, English,82339483,32000000,AU,74
Women Talking,16-Feb-23,drama, English,7589419,30408000,AU,70
Dead Poets Society,21-Jul-89,drama, English,239500000,16400000,AU,83
Blonde,28-Sep-22,drama, English,103705080,22000000,AU,62
12 Angry Men,10-Oct-57,drama, English,379,340000,AU,85
Breakthrough,18-Apr-19,drama, English,49231674,14000000,AU,77
Manchester by the Sea,2-Feb-17,drama, English,77733867,8500000,AU,75
Living,16-Mar-23,drama, English,6999027,26730400,AU,71
One Flew Over the Cuckoo's Nest,1-Apr-76,drama, English,163274115,4400000,AU,84
Marriage Story,6-Nov-19,drama, English,321463,18000000,AU,78
The Social Network,28-Oct-10,drama, English,224922135,40000000,AU,73
The Greatest Showman,26-Dec-17,drama, English,430782826,84000000,AU,79
Bombshell,1-Jan-20,drama, English,61404394,32000000,AU,68
Palmer,29-Jan-21,drama, English,0,6713933,AU,80
"I, Tonya",25-Jan-18,drama, English,53797409,11000000,AU,75
American Beauty,26-Jan-00,drama, English,356258047,15000000,AU,80
The Forgiven,28-Jul-22,drama, English,503089617,88000000,AU,59
The Perks of Being a Wallflower,29-Nov-12,drama, English,33069303,13000000,AU,78
42,1-May-13,drama, English,97470701,31000000,AU,71
A Few Good Men,17-Dec-92,drama, English,236500000,33000000,AU,75
Remember the Titans,25-Jan-01,drama, English,136771683,30000000,AU,76
American History X,6-May-99,drama, English,6719864,10000000,AU,84
Topside,6-Aug-21,drama, English,530413655,71200000,AU,70
Lovelace,26-Sep-13,drama, English,1585582,10000000,AU,60
Lion,19-Jan-17,drama, English,149117900,12000000,AU,81
The Son,9-Feb-23,drama, English,319773153,47220616.4,AU,66
Beautiful Boy,25-Oct-18,drama, English,13314562,25000000,AU,76
Flight,7-Feb-13,drama, English,160558438,31000000,AU,68
Armageddon Time,3-Nov-22,drama, English,6374433,15000000,AU,66
Crash,30-Jan-97,drama, English,3412380,10000000,AU,65
Crash,30-Jan-97,drama, English,101173038,7303082,AU,65
Erin Brockovich,13-Apr-00,drama, English,257805243,50000000,AU,74
Soft,28-Feb-23,drama, English,175269999,174600000,AU,0
The Judge,11-Feb-15,drama, English,76073556,50000000,AU,73
The Father,1-Apr-21,drama, English,36427155,6000000,AU,81
Moneyball,23-Sep-11,drama, English,111300835,50000000,AU,72
Million Dollar Baby,3-Feb-05,drama, English,231928227,30000000,AU,80
Fences,17-Jan-17,drama, English,64282881,24000000,AU,69
Rain Man,23-Feb-89,drama, English,412800000,25000000,AU,78
Goal!,16-Feb-06,drama, English,27610873,10000000,AU,67
Jesus Revolution,20-Apr-23,drama, English,52010708,15000000,AU,68
Adore,13-Aug-13,drama, English,1575749,16000000,AU,61
Gran Torino,12-Jan-09,drama, English,274543085,25000000,AU,80
Scent of a Woman,11-Mar-93,drama, English,134095253,31000000,AU,78
Seven Pounds,8-Jan-09,drama, English,166617328,54000000,AU,76
Shame,9-Feb-12,drama, English,20412841,6500000,AU,70
If I Stay,27-Aug-14,drama, English,78356170,11000000,AU,74
"Girl, Interrupted",20-Jan-00,drama, English,48308749,24000000,AU,76
Philadelphia,3-Mar-94,drama, English,201324422,26000000,AU,77
The Tender Bar,7-Jan-22,drama, English,319773153,47220616.4,AU,66
The Color Purple,26-Jun-86,drama, English,94029472,15000000,AU,78
Burnt,22-Oct-15,drama, English,36766293,20000000,AU,65
Savage Grace,27-Jul-07,drama, English,968805,4600000,AU,57
The Glass Castle,7-Sep-17,drama, English,22088533,9000000,AU,72
Showgirls,12-Oct-95,drama, English,37750754,40000000,AU,55
Babel,26-Dec-06,drama, English,132121212,20000000,AU,72
Boogie Nights,12-Feb-98,drama, English,43111725,15000000,AU,76
Boyhood,4-Sep-14,drama, English,57273049,4000000,AU,75
"sex, lies, and videotape",30-Nov-89,drama, English,24741667,1200000,AU,69
Sunset Boulevard,29-Sep-50,drama, English,5000000,1752000,AU,84
Any Given Sunday,10-Mar-00,drama, English,100230832,60000000,AU,68
Crash,12-May-05,drama, English,3412380,10000000,AU,72
Crash,12-May-05,drama, English,101173038,7303082,AU,72
The Beguiled,27-Jun-17,drama, English,28039038,10000000,AU,59
The Hurricane,16-Mar-00,drama, English,73956241,38000000,AU,74
Sound of Metal,8-Apr-21,drama, English,516819,5400000,AU,77
Driving Miss Daisy,15-Mar-90,drama, English,106593296,7500000,AU,72
The Danish Girl,26-Dec-15,drama, English,67514963,15000000,AU,76
Detachment,24-Apr-11,drama, English,1681521,5389600,AU,76
Awakenings,14-Mar-91,drama, English,51636504,29000000,AU,78
Moonlight,26-Jan-17,drama, English,64895106,1500000,AU,74
First Reformed,16-Aug-18,drama, English,3988612,3500000,AU,70
Lifemark,13-Oct-22,drama, English,5021114,56600000,AU,67
Belfast,3-Feb-22,drama, English,30000000,25000000,AU,71
The Aviator,10-Feb-05,drama, English,208370892,110000000,AU,72
Nomadland,4-Mar-21,drama, English,38728987,5000000,AU,72
Dead Man Walking,28-Feb-96,drama, English,83088295,11000000,AU,74
The Last King of Scotland,1-Feb-07,drama, English,49155371,6000000,AU,74
At Eternity's Gate,20-Dec-18,drama, English,406434252,95000000,AU,69
There Will Be Blood,4-Feb-08,drama, English,77208672,25000000,AU,81
The Only Living Boy in New York,12-Oct-17,drama, English,2550321,36345000,AU,64
Penguin Bloom,21-Jan-21,drama, English,369861964,100000000,AU,71
The Banker,20-Mar-20,drama, English,2990000,11000000,AU,76
The Goldfinch,26-Sep-19,drama, English,9429910,40000000,AU,72
"Paris, Texas",28-Feb-85,drama, English,2181987,1746964,AU,81
I Am Sam,13-Jun-02,drama, English,92542418,22000000,AU,76
To Kill a Mockingbird,31-May-63,drama, English,13129846,2000000,AU,80
Fruitvale Station,28-Jan-14,drama, English,17549645,900000,AU,74
Precious,4-Feb-10,drama, English,47536959,10000000,AU,74
Leave No Trace,7-Aug-18,drama, English,583921229,56600000,AU,68
My Sister's Keeper,30-Jul-09,drama, English,95714875,30000000,AU,74
Rebel Without a Cause,25-Oct-56,drama, English,199963,1500000,AU,76
The Fighter,27-Jan-11,drama, English,129262388,11000000,AU,74
Minari,18-Feb-21,drama, English,15474659,2000000,AU,74
Do the Right Thing,14-Dec-89,drama, English,26051502,6000000,AU,78
Friday Night Lights,10-Mar-05,drama, English,61950770,30000000,AU,69
Blue Jasmine,12-Sep-13,drama, English,102912961,18000000,AU,70
The Florida Project,21-Dec-17,drama, English,11275645,2000000,AU,74
Land,29-Apr-21,drama, English,2375190,54200004,AU,68
In the Name of the Father,13-Jan-94,drama, English,65796862,13000000,AU,79
Normal,20-Nov-08,drama, English,6637750,2500000,AU,55
Peaceful Warrior,23-Jun-06,drama, English,3260179,10000000,AU,75
The Grapes of Wrath,22-May-40,drama, English,1591000,800000,AU,78
The Natural,20-Sep-84,drama, English,47951979,28000000,AU,69
The Ides of March,18-Nov-11,drama, English,77735925,23000000,AU,67
The Master,8-Nov-12,drama, English,29044338,37500000,AU,72
My Own Private Idaho,26-Mar-92,drama, English,6402775,2500000,AU,71
Fatima,1-Jan-21,drama, English,653988016,67800000,AU,74
Network,1-Dec-76,drama, English,23689877,3800000,AU,79
The Color of Money,19-Feb-87,drama, English,52293000,10000000,AU,68
To Leslie,9-Mar-23,drama, English,27322,26848000,AU,72
Dear Evan Hansen,9-Dec-21,drama, English,19200000,27500000,AU,64
All About Eve,11-Jul-51,drama, English,8400000,1400000,AU,82
The Miseducation of Cameron Post,30-Aug-18,drama, English,2019874,900000,AU,69
The Red Shoes: Next Step,6-Apr-23,drama, English,175269999,174600000,AU,0
The Way Back,5-Mar-20,drama, English,14563409,23000000,AU,66
Big Eyes,18-Feb-15,drama, English,27317872,10000000,AU,70
C'mon C'mon,17-Feb-22,drama, English,4300000,8300000,AU,73
The Kite Runner,17-Jan-08,drama, English,74180745,20000000,AU,73
Bringing Out the Dead,20-Apr-00,drama, English,16800000,32000000,AU,66
Ali,21-Feb-02,drama, English,87683966,109000000,AU,68
The Butler,30-Aug-14,drama, English,115922175,25000000,AU,73
Lady Macbeth,29-Jun-17,drama, English,6477294,650000,AU,66
Pieces of a Woman,31-Dec-20,drama, English,369861964,100000000,AU,71
Blue Bayou,18-Nov-21,drama, English,750000,5389600,AU,76
Chaplin,18-Feb-93,drama, English,9493259,31000000,AU,75
Spencer,20-Jan-22,drama, English,14000000,18000000,AU,69
The Book Thief,9-Jan-14,drama, English,76086711,19000000,AU,75
Woman in Gold,21-May-15,drama, English,58586407,11000000,AU,73
Kramer vs. Kramer,13-Mar-80,drama, English,106260000,8000000,AU,76
Philomena,24-Dec-13,drama, English,98963392,12000000,AU,74
The Accused,9-Mar-89,drama, English,530413655,71200000,AU,70
Jackie,4-Jan-17,drama, English,36588512,9000000,AU,64
Paterson,14-Jun-16,drama, English,10727536,5000000,AU,71
Hillbilly Elegy,12-Nov-20,drama, English,38852,45000000,AU,68
Extremely Loud & Incredibly Close,14-Feb-12,drama, English,55247881,40000000,AU,70
The White Tiger,14-Jan-21,drama, English,530413655,71200000,AU,70
Wild,22-Jan-15,drama, English,52460543,15000000,AU,70
American Wrestler: The Wizard,31-May-21,drama, English,564158441,127200000,AU,75
Labor Day,6-Feb-14,drama, English,14189810,18000000,AU,70
The People vs. Larry Flynt,20-Feb-97,drama, English,20300385,36000000,AU,70
My Salinger Year,14-Jan-21,drama, English,236653,36345000,AU,64
Marshall,7-Jun-20,drama, English,10116816,12000000,AU,73
Avatar: The Way of Water,15-Dec-22,"Science Fiction, Adventure, Action", English,2316794914,460000000,AU,78
John Wick: Chapter 4,23-Mar-23,"Action, Thriller, Crime", English,351349364,100000000,AU,80
Puss in Boots: The Last Wish,26-Dec-22,"Animation, Family, Fantasy, Adventure, Comedy", English,483480577,90000000,AU,83
Black Warrant,1-Mar-23,"Action, Thriller", English,378399281,116000000,AU,54
A Man Called Otto,1-Jan-23,"Comedy, Drama", English,108973274,50000000,AU,79
A Bronx Tale,20-May-94,"Drama, Crime", English,17287898,10000000,AU,78
Top Gun: Maverick,26-May-22,"Action, Drama", English,1481369482,170000000,AU,83
Spider-Man: No Way Home,16-Dec-21,"Action, Adventure, Science Fiction", English,1910048245,200000000,AU,80
Guillermo del Toro's Pinocchio,24-Nov-22,"Animation, Fantasy, Drama, Music", English,81567666,35000000,AU,82
Prey,5-Aug-22,"Thriller, Action, Science Fiction", English,0,65000000,AU,78
Super Mario Bros.,10-Jun-93,"Action, Adventure, Comedy, Family, Science Fiction", English,20844907,42000000,AU,43
The Woman King,27-Oct-22,"Action, Drama, History", English,94374749,50000000,AU,78
There Are No Saints,1-Jul-22,"Action, Mystery, Thriller", English,194565354,136400000,AU,53
Avengers: Infinity War,25-Apr-18,"Adventure, Action, Science Fiction", English,2048359754,300000000,AU,83
The Ten Commandments,12-Dec-58,"Drama, History", English,85433929,13500000,AU,78
The Ten Commandments,12-Dec-58,"Drama, History", English,1051907,10000000,AU,78
Luck,5-Aug-22,"Animation, Adventure, Comedy, Fantasy", English,721203091,147000000,AU,79
Sing 2,26-Dec-21,"Animation, Family", English,404655351,85000000,AU,80
Harry Potter and the Philosopher's Stone,29-Nov-01,"Adventure, Fantasy", English,976475550,125000000,AU,79
Teen Wolf: The Movie,27-Jan-23,"Action, Fantasy, TV Movie", English,327346026,150400000,AU,78
Interstellar,6-Nov-14,"Adventure, Drama, Science Fiction", English,648082655,165000000,AU,84
Coraline,6-Aug-09,"Animation, Family, Fantasy", English,126037057,60000000,AU,78
Harry Potter and the Goblet of Fire,1-Dec-05,"Adventure, Fantasy, Family", English,886742787,150000000,AU,78
The Wolf of Wall Street,22-Jan-14,"Crime, Drama, Comedy", English,389816136,100000000,AU,80
Harry Potter and the Prisoner of Azkaban,3-Jun-04,"Adventure, Fantasy", English,789592708,130000000,AU,80
Out of the Blue,20-Oct-22,"Thriller, Romance", English,731767,4600000,AU,46
The Black Phone,30-Jun-22,"Horror, Thriller", English,161440742,17000000,AU,78
Avengers: Endgame,24-Apr-19,"Adventure, Science Fiction, Action", English,2794731755,400000000,AU,83
Ben-Hur,12-May-60,"Action, Drama, History", English,91669648,95000000,AU,79
Ben-Hur,12-May-60,"Action, Drama, History", English,73259017,15000000,AU,79
Harry Potter and the Deathly Hallows: Part 2,13-Jul-11,"Fantasy, Adventure", English,1341511219,125000000,AU,81
"Monsters, Inc.",26-Dec-01,"Animation, Comedy, Family", English,560483719,115000000,AU,78
Zack Snyder's Justice League,18-Mar-21,"Action, Adventure, Fantasy, Science Fiction", English,136635234,70000000,AU,82
Spider-Man: Into the Spider-Verse,13-Dec-18,"Action, Adventure, Animation, Science Fiction", English,375540831,90000000,AU,84
Harry Potter and the Deathly Hallows: Part 1,13-Nov-10,"Adventure, Fantasy", English,954305868,250000000,AU,78
Pirates of the Caribbean: The Curse of the Black Pearl,11-Sep-03,"Adventure, Fantasy, Action", English,655011224,140000000,AU,78
Cruella,27-May-21,"Comedy, Crime", English,233503234,200000000,AU,81
Coco,26-Dec-17,"Family, Animation, Fantasy, Music, Comedy, Adventure", English,797660271,175000000,AU,82
Titanic,18-Dec-97,"Drama, Romance", English,2222985568,200000000,AU,79
The Lion King,25-Aug-94,"Family, Animation, Drama", English,1647733638,260000000,AU,83
The Lion King,25-Aug-94,"Family, Animation, Drama", English,986193783,79300000,AU,83
Luca,18-Jun-21,"Animation, Comedy, Fantasy, Adventure", English,49750471,200000000,AU,79
Ratatouille,6-Sep-07,"Animation, Comedy, Family, Fantasy", English,626549695,150000000,AU,78
